HOG	OG	Gene Tree Parent Clade	53503-Pc.singCopy	uniProt.taxonomy_id_500485
N0.HOG0002203	OG0002066	-	53503-Pc.00g026670.m01.polypeptide.OG0002935	Pc22g05330
N0.HOG0002204	OG0002067	-	53503-Pc.00g026650.m01.polypeptide.OG0002937	Pc22g05310
N0.HOG0002205	OG0002068	-	53503-Pc.00g026640.m01.polypeptide.OG0002938	Pc22g05300
N0.HOG0002206	OG0002069	-	53503-Pc.00g026580.m01.polypeptide.OG0002940	Pc22g05240
N0.HOG0002207	OG0002070	-	53503-Pc.00g026560.m01.polypeptide.OG0002941	Pc22g05220
N0.HOG0002208	OG0002071	-	53503-Pc.00g026550.m01.polypeptide.OG0002942	Pc22g05210
N0.HOG0002209	OG0002072	-	53503-Pc.00g026540.m01.polypeptide.OG0002943	Pc22g05200
N0.HOG0002210	OG0002073	-	53503-Pc.00g026530.m01.polypeptide.OG0002944	Pc22g05190
N0.HOG0002211	OG0002074	-	53503-Pc.00g026520.m01.polypeptide.OG0002945	Pc22g05180
N0.HOG0002212	OG0002075	-	53503-Pc.00g053270.m01.polypeptide.OG0002946	Pc22g10010
N0.HOG0002213	OG0002076	-	53503-Pc.00g053300.m01.polypeptide.OG0002948	Pc22g10040
N0.HOG0002214	OG0002077	-	53503-Pc.00g053330.m01.polypeptide.OG0002951	Pc22g10080
N0.HOG0002215	OG0002078	-	53503-Pc.00g053340.m01.polypeptide.OG0002952	Pc22g10090
N0.HOG0002216	OG0002079	-	53503-Pc.00g053350.m01.polypeptide.OG0002953	Pc22g10100
N0.HOG0002217	OG0002080	-	53503-Pc.00g053360.m01.polypeptide.OG0002954	Pc22g10120
N0.HOG0002218	OG0002081	-	53503-Pc.00g053390.m01.polypeptide.OG0002957	Pc22g10160
N0.HOG0002219	OG0002082	-	53503-Pc.00g096390.m01.polypeptide.OG0002960	Pc20g09420
N0.HOG0002220	OG0002083	-	53503-Pc.00g093610.m01.polypeptide.OG0002963	Pc20g09350
N0.HOG0002221	OG0002084	-	53503-Pc.00g037470.m01.polypeptide.OG0002964	Pc20g09340
N0.HOG0002222	OG0002085	-	53503-Pc.00g096380.m01.polypeptide.OG0002966	Pc20g09430
N0.HOG0002223	OG0002086	-	53503-Pc.00g097730.m01.polypeptide.OG0002967	Pc20g09460
N0.HOG0002224	OG0002087	-	53503-Pc.00g024200.m01.polypeptide.OG0002968	Pc20g09870
N0.HOG0002225	OG0002088	-	53503-Pc.00g024210.m01.polypeptide.OG0002969	Pc20g09880
N0.HOG0002226	OG0002089	-	53503-Pc.00g024230.m01.polypeptide.OG0002970	Pc20g09900
N0.HOG0002227	OG0002090	-	53503-Pc.00g024240.m01.polypeptide.OG0002971	Pc20g09910
N0.HOG0002228	OG0002091	-	53503-Pc.00g024250.m01.polypeptide.OG0002972	Pc20g09920
N0.HOG0002229	OG0002092	-	53503-Pc.00g024290.m01.polypeptide.OG0002973	Pc20g09960
N0.HOG0002230	OG0002093	-	53503-Pc.00g024300.m01.polypeptide.OG0002974	Pc20g09970
N0.HOG0002231	OG0002094	-	53503-Pc.00g024310.m01.polypeptide.OG0002975	Pc20g09980
N0.HOG0002232	OG0002095	-	53503-Pc.00g024320.m01.polypeptide.OG0002976	Pc20g10000
N0.HOG0002233	OG0002096	-	53503-Pc.00g024330.m01.polypeptide.OG0002977	Pc20g10010
N0.HOG0002234	OG0002097	-	53503-Pc.00g019160.m01.polypeptide.OG0002980	Pc20g10110
N0.HOG0002235	OG0002098	-	53503-Pc.00g019170.m01.polypeptide.OG0002981	Pc20g10120
N0.HOG0002236	OG0002099	-	53503-Pc.00g019250.m01.polypeptide.OG0002985	Pc20g10260
N0.HOG0002237	OG0002100	-	53503-Pc.00g019280.m01.polypeptide.OG0002986	Pc20g10290
N0.HOG0002238	OG0002101	-	53503-Pc.00g019290.m01.polypeptide.OG0002987	Pc20g10300
N0.HOG0002239	OG0002102	-	53503-Pc.00g019360.m01.polypeptide.OG0002991	Pc20g10400
N0.HOG0002240	OG0002103	-	53503-Pc.00g019420.m01.polypeptide.OG0002992	Pc20g10440
N0.HOG0002241	OG0002104	-	53503-Pc.00g019430.m01.polypeptide.OG0002993	Pc20g10470
N0.HOG0002242	OG0002105	-	53503-Pc.00g019440.m01.polypeptide.OG0002994	Pc20g10480
N0.HOG0002243	OG0002106	-	53503-Pc.00g019450.m01.polypeptide.OG0002995	Pc20g10490
N0.HOG0002244	OG0002107	-	53503-Pc.00g020620.m01.polypeptide.OG0002998	Pc12g03160
N0.HOG0002245	OG0002108	-	53503-Pc.00g020590.m01.polypeptide.OG0002999	Pc12g03120
N0.HOG0002246	OG0002109	-	53503-Pc.00g090740.m01.polypeptide.OG0003000	Pc18g01370
N0.HOG0002247	OG0002110	-	53503-Pc.00g090750.m01.polypeptide.OG0003001	Pc18g01390
N0.HOG0002248	OG0002111	-	53503-Pc.00g090760.m01.polypeptide.OG0003002	Pc18g01400
N0.HOG0002249	OG0002112	-	53503-Pc.00g090780.m01.polypeptide.OG0003003	Pc18g01420
N0.HOG0002250	OG0002113	-	53503-Pc.00g096280.m01.polypeptide.OG0003004	Pc18g01430
N0.HOG0002251	OG0002114	-	53503-Pc.00g096300.m01.polypeptide.OG0003005	Pc18g01460
N0.HOG0002252	OG0002115	-	53503-Pc.00g075400.m01.polypeptide.OG0003007	Pc18g01500
N0.HOG0002253	OG0002116	-	53503-Pc.00g075410.m01.polypeptide.OG0003008	Pc18g01510
N0.HOG0002254	OG0002117	-	53503-Pc.00g075420.m01.polypeptide.OG0003009	Pc18g01520
N0.HOG0002255	OG0002118	-	53503-Pc.00g075440.m01.polypeptide.OG0003010	Pc18g01540
N0.HOG0002256	OG0002119	-	53503-Pc.00g075450.m01.polypeptide.OG0003011	Pc18g01550
N0.HOG0002257	OG0002120	-	53503-Pc.00g075460.m01.polypeptide.OG0003012	Pc18g01560
N0.HOG0002258	OG0002121	-	53503-Pc.00g088890.m01.polypeptide.OG0003014	Pc18g01640
N0.HOG0002259	OG0002122	-	53503-Pc.00g076880.m01.polypeptide.OG0003016	Pc18g01730
N0.HOG0002260	OG0002123	-	53503-Pc.00g076890.m01.polypeptide.OG0003017	Pc18g01740
N0.HOG0002261	OG0002124	-	53503-Pc.00g076900.m01.polypeptide.OG0003018	Pc18g01750
N0.HOG0002262	OG0002125	-	53503-Pc.00g076910.m01.polypeptide.OG0003019	Pc18g01760
N0.HOG0002263	OG0002126	-	53503-Pc.00g076920.m01.polypeptide.OG0003020	Pc18g01770
N0.HOG0002264	OG0002127	-	53503-Pc.00g076930.m01.polypeptide.OG0003021	Pc18g01780
N0.HOG0002265	OG0002128	-	53503-Pc.00g076940.m01.polypeptide.OG0003022	Pc18g01790
N0.HOG0002266	OG0002129	-	53503-Pc.00g076950.m01.polypeptide.OG0003023	Pc18g01810
N0.HOG0002267	OG0002130	-	53503-Pc.00g076960.m01.polypeptide.OG0003024	Pc18g01820
N0.HOG0002268	OG0002131	-	53503-Pc.00g032250.m01.polypeptide.OG0003026	Pc18g05420
N0.HOG0002269	OG0002132	-	53503-Pc.00g032240.m01.polypeptide.OG0003027	Pc18g05410
N0.HOG0002270	OG0002133	-	53503-Pc.00g032230.m01.polypeptide.OG0003028	Pc18g05400
N0.HOG0002271	OG0002134	-	53503-Pc.00g032210.m01.polypeptide.OG0003030	Pc18g05380
N0.HOG0002272	OG0002135	-	53503-Pc.00g032200.m01.polypeptide.OG0003031	Pc18g05370
N0.HOG0002273	OG0002136	-	53503-Pc.00g032170.m01.polypeptide.OG0003032	Pc18g05340
N0.HOG0002274	OG0002137	-	53503-Pc.00g032130.m01.polypeptide.OG0003033	Pc18g05280
N0.HOG0002275	OG0002138	-	53503-Pc.00g032120.m01.polypeptide.OG0003034	Pc18g05260
N0.HOG0002276	OG0002139	-	53503-Pc.00g091120.m01.polypeptide.OG0003035	Pc18g05250
N0.HOG0002277	OG0002140	-	53503-Pc.00g027090.m01.polypeptide.OG0003036	Pc18g05160
N0.HOG0002278	OG0002141	-	53503-Pc.00g027100.m01.polypeptide.OG0003037	Pc18g05150
N0.HOG0002279	OG0002142	-	53503-Pc.00g027110.m01.polypeptide.OG0003038	Pc18g05140
N0.HOG0002280	OG0002143	-	53503-Pc.00g027170.m01.polypeptide.OG0003042	Pc18g05080
N0.HOG0002281	OG0002144	-	53503-Pc.00g027180.m01.polypeptide.OG0003043	Pc18g05070
N0.HOG0002282	OG0002145	-	53503-Pc.00g027210.m01.polypeptide.OG0003045	Pc18g05040
N0.HOG0002283	OG0002146	-	53503-Pc.00g027220.m01.polypeptide.OG0003046	Pc18g05030
N0.HOG0002284	OG0002147	-	53503-Pc.00g014620.m01.polypeptide.OG0003048	Pc21g05330
N0.HOG0002285	OG0002148	-	53503-Pc.00g014610.m01.polypeptide.OG0003049	Pc21g05350
N0.HOG0002286	OG0002149	-	53503-Pc.00g014600.m01.polypeptide.OG0003050	Pc21g05360
N0.HOG0002287	OG0002150	-	53503-Pc.00g052470.m01.polypeptide.OG0003055	Pc21g17290
N0.HOG0002288	OG0002151	-	53503-Pc.00g052480.m01.polypeptide.OG0003056	Pc21g17300
N0.HOG0002289	OG0002152	-	53503-Pc.00g052490.m01.polypeptide.OG0003057	Pc21g17310
N0.HOG0002290	OG0002153	-	53503-Pc.00g052500.m01.polypeptide.OG0003058	Pc21g17340
N0.HOG0002291	OG0002154	-	53503-Pc.00g052530.m01.polypeptide.OG0003059	Pc21g17380
N0.HOG0002292	OG0002155	-	53503-Pc.00g052540.m01.polypeptide.OG0003060	Pc21g17400
N0.HOG0002293	OG0002156	-	53503-Pc.00g052560.m01.polypeptide.OG0003061	Pc21g17430
N0.HOG0002294	OG0002157	-	53503-Pc.00g052570.m01.polypeptide.OG0003062	Pc21g17440
N0.HOG0002295	OG0002158	-	53503-Pc.00g052630.m01.polypeptide.OG0003063	Pc21g17510
N0.HOG0002296	OG0002159	-	53503-Pc.00g052620.m01.polypeptide.OG0003064	Pc21g17500
N0.HOG0002297	OG0002160	-	53503-Pc.00g052600.m01.polypeptide.OG0003066	Pc21g17480
N0.HOG0002298	OG0002161	-	53503-Pc.00g052590.m01.polypeptide.OG0003067	Pc21g17470
N0.HOG0002299	OG0002162	-	53503-Pc.00g052580.m01.polypeptide.OG0003068	Pc21g17460
N0.HOG0002300	OG0002163	-	53503-Pc.00g052640.m01.polypeptide.OG0003069	Pc21g17530
N0.HOG0002301	OG0002164	-	53503-Pc.00g095620.m01.polypeptide.OG0003071	Pc21g17560
N0.HOG0002302	OG0002165	-	53503-Pc.00g095610.m01.polypeptide.OG0003072	Pc21g17570
N0.HOG0002303	OG0002166	-	53503-Pc.00g081600.m01.polypeptide.OG0003073	Pc21g17590
N0.HOG0002304	OG0002167	-	53503-Pc.00g081590.m01.polypeptide.OG0003074	Pc21g17600
N0.HOG0002305	OG0002168	-	53503-Pc.00g081580.m01.polypeptide.OG0003075	Pc21g17610
N0.HOG0002306	OG0002169	-	53503-Pc.00g081560.m01.polypeptide.OG0003076	Pc21g17630
N0.HOG0002307	OG0002170	-	53503-Pc.00g081550.m01.polypeptide.OG0003077	Pc21g17640
N0.HOG0002308	OG0002171	-	53503-Pc.00g081540.m01.polypeptide.OG0003078	Pc21g17650
N0.HOG0002309	OG0002172	-	53503-Pc.00g081530.m01.polypeptide.OG0003079	Pc21g17660
N0.HOG0002310	OG0002173	-	53503-Pc.00g081520.m01.polypeptide.OG0003080	Pc21g17670
N0.HOG0002311	OG0002174	-	53503-Pc.00g094770.m01.polypeptide.OG0003082	Pc21g17790
N0.HOG0002312	OG0002175	-	53503-Pc.00g093950.m01.polypeptide.OG0003083	Pc21g17820
N0.HOG0002313	OG0002176	-	53503-Pc.00g100160.m01.polypeptide.OG0003085	Pc21g17890
N0.HOG0002314	OG0002177	-	53503-Pc.00g086310.m01.polypeptide.OG0003086	Pc21g17910
N0.HOG0002315	OG0002178	-	53503-Pc.00g086320.m01.polypeptide.OG0003087	Pc21g17920
N0.HOG0002316	OG0002179	-	53503-Pc.00g086340.m01.polypeptide.OG0003089	Pc21g17950
N0.HOG0002317	OG0002180	-	53503-Pc.00g086360.m01.polypeptide.OG0003091	Pc21g17970
N0.HOG0002318	OG0002181	-	53503-Pc.00g086370.m01.polypeptide.OG0003092	Pc21g17980
N0.HOG0002319	OG0002182	-	53503-Pc.00g099640.m01.polypeptide.OG0003093	Pc21g18000
N0.HOG0002320	OG0002183	-	53503-Pc.00g008070.m01.polypeptide.OG0003097	PAN3
N0.HOG0002321	OG0002184	-	53503-Pc.00g008040.m01.polypeptide.OG0003099	Pc16g12850
N0.HOG0002322	OG0002185	-	53503-Pc.00g008030.m01.polypeptide.OG0003100	Pc16g12840
N0.HOG0002323	OG0002186	-	53503-Pc.00g008020.m01.polypeptide.OG0003101	Pc16g12830
N0.HOG0002324	OG0002187	-	53503-Pc.00g008010.m01.polypeptide.OG0003102	Pc16g12820
N0.HOG0002325	OG0002188	-	53503-Pc.00g007990.m01.polypeptide.OG0003103	Pc16g12800
N0.HOG0002326	OG0002189	-	53503-Pc.00g007960.m01.polypeptide.OG0003105	Pc16g12760
N0.HOG0002327	OG0002190	-	53503-Pc.00g007890.m01.polypeptide.OG0003106	Pc16g12680
N0.HOG0002328	OG0002191	-	53503-Pc.00g007900.m01.polypeptide.OG0003107	Pc16g12690
N0.HOG0002329	OG0002192	-	53503-Pc.00g007870.m01.polypeptide.OG0003109	Pc16g12660
N0.HOG0002330	OG0002193	-	53503-Pc.00g007850.m01.polypeptide.OG0003110	Pc16g12620
N0.HOG0002331	OG0002194	-	53503-Pc.00g007840.m01.polypeptide.OG0003111	Pc16g12610
N0.HOG0002332	OG0002195	-	53503-Pc.00g007830.m01.polypeptide.OG0003112	Pc16g12600
N0.HOG0002333	OG0002196	-	53503-Pc.00g038520.m01.polypeptide.OG0003113	Pc16g14070
N0.HOG0002334	OG0002197	-	53503-Pc.00g038510.m01.polypeptide.OG0003114	Pc16g14060
N0.HOG0002335	OG0002198	-	53503-Pc.00g038500.m01.polypeptide.OG0003115	Pc16g14050
N0.HOG0002336	OG0002199	-	53503-Pc.00g038490.m01.polypeptide.OG0003116	Pc16g14040
N0.HOG0002337	OG0002200	-	53503-Pc.00g038480.m01.polypeptide.OG0003117	Pc16g14030
N0.HOG0002338	OG0002201	-	53503-Pc.00g038470.m01.polypeptide.OG0003118	Pc16g14010
N0.HOG0002339	OG0002202	-	53503-Pc.00g038460.m01.polypeptide.OG0003119	Pc16g14000
N0.HOG0002340	OG0002203	-	53503-Pc.00g057660.m01.polypeptide.OG0003123	Pc16g13810
N0.HOG0002341	OG0002204	-	53503-Pc.00g057670.m01.polypeptide.OG0003124	Pc16g13800
N0.HOG0002342	OG0002205	-	53503-Pc.00g057680.m01.polypeptide.OG0003125	Pc16g13790
N0.HOG0002343	OG0002206	-	53503-Pc.00g057690.m01.polypeptide.OG0003126	Pc16g13770
N0.HOG0002344	OG0002207	-	53503-Pc.00g057710.m01.polypeptide.OG0003127	Pc16g13740
N0.HOG0002345	OG0002208	-	53503-Pc.00g057730.m01.polypeptide.OG0003129	Pc16g13720
N0.HOG0002346	OG0002209	-	53503-Pc.00g079890.m01.polypeptide.OG0003130	Pc16g13590
N0.HOG0002347	OG0002210	-	53503-Pc.00g079900.m01.polypeptide.OG0003131	Pc16g13600
N0.HOG0002348	OG0002211	-	53503-Pc.00g079870.m01.polypeptide.OG0003133	Pc16g13570
N0.HOG0002349	OG0002212	-	53503-Pc.00g079780.m01.polypeptide.OG0003137	Pc16g13480
N0.HOG0002350	OG0002213	-	53503-Pc.00g079770.m01.polypeptide.OG0003138	Pc16g13460
N0.HOG0002351	OG0002214	-	53503-Pc.00g079210.m01.polypeptide.OG0003139	Pc16g13450
N0.HOG0002352	OG0002215	-	53503-Pc.00g079200.m01.polypeptide.OG0003140	Pc16g13440
N0.HOG0002353	OG0002216	-	53503-Pc.00g079180.m01.polypeptide.OG0003141	Pc16g13410
N0.HOG0002354	OG0002217	-	53503-Pc.00g079160.m01.polypeptide.OG0003143	Pc16g13390
N0.HOG0002355	OG0002218	-	53503-Pc.00g087010.m01.polypeptide.OG0003144	Pc21g22200
N0.HOG0002356	OG0002219	-	53503-Pc.00g098300.m01.polypeptide.OG0003145	Pc21g22210
N0.HOG0002357	OG0002220	-	53503-Pc.00g017770.m01.polypeptide.OG0003146	Pc21g22970
N0.HOG0002358	OG0002221	-	53503-Pc.00g017760.m01.polypeptide.OG0003147	Pc21g22980
N0.HOG0002359	OG0002222	-	53503-Pc.00g017740.m01.polypeptide.OG0003148	Pc21g23000
N0.HOG0002360	OG0002223	-	53503-Pc.00g017680.m01.polypeptide.OG0003151	Pc21g23100
N0.HOG0002361	OG0002224	-	53503-Pc.00g017670.m01.polypeptide.OG0003152	Pc21g23110
N0.HOG0002362	OG0002225	-	53503-Pc.00g017660.m01.polypeptide.OG0003153	Pc21g23120
N0.HOG0002363	OG0002226	-	53503-Pc.00g017610.m01.polypeptide.OG0003155	Pc21g23170
N0.HOG0002364	OG0002227	-	53503-Pc.00g017600.m01.polypeptide.OG0003156	Pc21g23180
N0.HOG0002365	OG0002228	-	53503-Pc.00g017560.m01.polypeptide.OG0003158	Pc21g23220
N0.HOG0002366	OG0002229	-	53503-Pc.00g017550.m01.polypeptide.OG0003159	Pc21g23230
N0.HOG0002367	OG0002230	-	53503-Pc.00g017540.m01.polypeptide.OG0003160	Pc21g23240
N0.HOG0002368	OG0002231	-	53503-Pc.00g017520.m01.polypeptide.OG0003161	Pc21g23260
N0.HOG0002369	OG0002232	-	53503-Pc.00g017500.m01.polypeptide.OG0003162	Pc21g23280
N0.HOG0002370	OG0002233	-	53503-Pc.00g017490.m01.polypeptide.OG0003163	Pc21g23290
N0.HOG0002371	OG0002234	-	53503-Pc.00g008640.m01.polypeptide.OG0003164	Pc22g22670
N0.HOG0002372	OG0002235	-	53503-Pc.00g081460.m01.polypeptide.OG0003166	Pc13g13510
N0.HOG0002373	OG0002236	-	53503-Pc.00g004660.m01.polypeptide.OG0003169	Pc13g08720
N0.HOG0002374	OG0002237	-	53503-Pc.00g004680.m01.polypeptide.OG0003170	Pc13g08750
N0.HOG0002375	OG0002238	-	53503-Pc.00g004690.m01.polypeptide.OG0003171	Pc13g08760
N0.HOG0002376	OG0002239	-	53503-Pc.00g004700.m01.polypeptide.OG0003172	Pc13g08770
N0.HOG0002377	OG0002240	-	53503-Pc.00g004710.m01.polypeptide.OG0003173	Pc13g08780
N0.HOG0002378	OG0002241	-	53503-Pc.00g004720.m01.polypeptide.OG0003174	Pc13g08790
N0.HOG0002379	OG0002242	-	53503-Pc.00g004760.m01.polypeptide.OG0003176	Pc13g08850
N0.HOG0002380	OG0002243	-	53503-Pc.00g004780.m01.polypeptide.OG0003177	Pc13g08870
N0.HOG0002381	OG0002244	-	53503-Pc.00g004790.m01.polypeptide.OG0003178	Pc13g08880
N0.HOG0002382	OG0002245	-	53503-Pc.00g004800.m01.polypeptide.OG0003179	Pc13g08890
N0.HOG0002383	OG0002246	-	53503-Pc.00g004810.m01.polypeptide.OG0003180	Pc13g08900
N0.HOG0002384	OG0002247	-	53503-Pc.00g004820.m01.polypeptide.OG0003181	Pc13g08910
N0.HOG0002385	OG0002248	-	53503-Pc.00g004840.m01.polypeptide.OG0003182	Pc13g08940
N0.HOG0002386	OG0002249	-	53503-Pc.00g051150.m01.polypeptide.OG0003183	Pc15g00620
N0.HOG0002387	OG0002250	-	53503-Pc.00g051160.m01.polypeptide.OG0003184	Pc15g00630
N0.HOG0002388	OG0002251	-	53503-Pc.00g051180.m01.polypeptide.OG0003186	Pc15g00650
N0.HOG0002389	OG0002252	-	53503-Pc.00g051210.m01.polypeptide.OG0003188	Pc15g00680
N0.HOG0002390	OG0002253	-	53503-Pc.00g051220.m01.polypeptide.OG0003189	Pc15g00690
N0.HOG0002391	OG0002254	-	53503-Pc.00g051230.m01.polypeptide.OG0003190	Pc15g00700
N0.HOG0002392	OG0002255	-	53503-Pc.00g051240.m01.polypeptide.OG0003191	Pc15g00710
N0.HOG0002393	OG0002256	-	53503-Pc.00g069830.m01.polypeptide.OG0003192	Pc22g21380
N0.HOG0002394	OG0002257	-	53503-Pc.00g100100.m01.polypeptide.OG0003194	Pc22g21410
N0.HOG0002395	OG0002258	-	53503-Pc.00g100860.m01.polypeptide.OG0003195	Pc22g21430
N0.HOG0002396	OG0002259	-	53503-Pc.00g076980.m01.polypeptide.OG0003196	Pc22g21440
N0.HOG0002397	OG0002260	-	53503-Pc.00g076990.m01.polypeptide.OG0003197	Pc22g21450
N0.HOG0002398	OG0002261	-	53503-Pc.00g043040.m01.polypeptide.OG0003198	Pc22g21080
N0.HOG0002399	OG0002262	-	53503-Pc.00g043060.m01.polypeptide.OG0003199	Pc22g21100
N0.HOG0002400	OG0002263	-	53503-Pc.00g069550.m01.polypeptide.OG0003200	Pc21g13270
N0.HOG0002401	OG0002264	-	53503-Pc.00g035350.m01.polypeptide.OG0003201	Pc22g24580
N0.HOG0002402	OG0002265	-	53503-Pc.00g035290.m01.polypeptide.OG0003202	Pc22g24660
N0.HOG0002403	OG0002266	-	53503-Pc.00g057050.m01.polypeptide.OG0003204	Pc16g02980
N0.HOG0002404	OG0002267	-	53503-Pc.00g085860.m01.polypeptide.OG0003205	Pc16g02940
N0.HOG0002405	OG0002268	-	53503-Pc.00g085870.m01.polypeptide.OG0003206	Pc16g02930
N0.HOG0002406	OG0002269	-	53503-Pc.00g067990.m01.polypeptide.OG0003207	Pc22g03900
N0.HOG0002407	OG0002270	-	53503-Pc.00g067970.m01.polypeptide.OG0003208	Pc22g03920
N0.HOG0002408	OG0002271	-	53503-Pc.00g067960.m01.polypeptide.OG0003209	Pc22g03930
N0.HOG0002409	OG0002272	-	53503-Pc.00g067940.m01.polypeptide.OG0003210	Pc22g03950
N0.HOG0002410	OG0002273	-	53503-Pc.00g067910.m01.polypeptide.OG0003212	Pc22g03990
N0.HOG0002411	OG0002274	-	53503-Pc.00g067900.m01.polypeptide.OG0003213	Pc22g04000
N0.HOG0002412	OG0002275	-	53503-Pc.00g067880.m01.polypeptide.OG0003214	Pc22g04040
N0.HOG0002413	OG0002276	-	53503-Pc.00g067870.m01.polypeptide.OG0003215	Pc22g04050
N0.HOG0002414	OG0002277	-	53503-Pc.00g055800.m01.polypeptide.OG0003216	Pc22g04060
N0.HOG0002415	OG0002278	-	53503-Pc.00g055790.m01.polypeptide.OG0003217	Pc22g04070
N0.HOG0002416	OG0002279	-	53503-Pc.00g055780.m01.polypeptide.OG0003218	Pc22g04080
N0.HOG0002417	OG0002280	-	53503-Pc.00g055760.m01.polypeptide.OG0003219	Pc22g04100
N0.HOG0002418	OG0002281	-	53503-Pc.00g055700.m01.polypeptide.OG0003220	Pc22g04190
N0.HOG0002419	OG0002282	-	53503-Pc.00g055680.m01.polypeptide.OG0003221	Pc22g04210
N0.HOG0002420	OG0002283	-	53503-Pc.00g055670.m01.polypeptide.OG0003222	Pc22g04220
N0.HOG0002421	OG0002284	-	53503-Pc.00g055660.m01.polypeptide.OG0003223	Pc22g04230
N0.HOG0002422	OG0002285	-	53503-Pc.00g055650.m01.polypeptide.OG0003224	Pc22g04240
N0.HOG0002423	OG0002286	-	53503-Pc.00g022200.m01.polypeptide.OG0003225	Pc18g02370
N0.HOG0002424	OG0002287	-	53503-Pc.00g022190.m01.polypeptide.OG0003226	Pc18g02380
N0.HOG0002425	OG0002288	-	53503-Pc.00g022180.m01.polypeptide.OG0003227	Pc18g02390
N0.HOG0002426	OG0002289	-	53503-Pc.00g022170.m01.polypeptide.OG0003228	Pc18g02400
N0.HOG0002427	OG0002290	-	53503-Pc.00g022160.m01.polypeptide.OG0003229	Pc18g02410
N0.HOG0002428	OG0002291	-	53503-Pc.00g063750.m01.polypeptide.OG0003232	Pc18g02470
N0.HOG0002429	OG0002292	-	53503-Pc.00g063740.m01.polypeptide.OG0003233	Pc18g02490
N0.HOG0002430	OG0002293	-	53503-Pc.00g063730.m01.polypeptide.OG0003234	Pc18g02500
N0.HOG0002431	OG0002294	-	53503-Pc.00g063700.m01.polypeptide.OG0003235	Pc18g02550
N0.HOG0002432	OG0002295	-	53503-Pc.00g063670.m01.polypeptide.OG0003236	Pc18g02590
N0.HOG0002433	OG0002296	-	53503-Pc.00g094190.m01.polypeptide.OG0003239	Pc18g02660
N0.HOG0002434	OG0002297	-	53503-Pc.00g080390.m01.polypeptide.OG0003241	Pc18g02770
N0.HOG0002435	OG0002298	-	53503-Pc.00g073410.m01.polypeptide.OG0003243	Pc12g14690
N0.HOG0002436	OG0002299	-	53503-Pc.00g073380.m01.polypeptide.OG0003244	Pc12g14660
N0.HOG0002437	OG0002300	-	53503-Pc.00g073370.m01.polypeptide.OG0003245	Pc12g14640
N0.HOG0002438	OG0002301	-	53503-Pc.00g082010.m01.polypeptide.OG0003247	Pc12g14560
N0.HOG0002439	OG0002302	-	53503-Pc.00g044870.m01.polypeptide.OG0003248	Pc12g14460
N0.HOG0002440	OG0002303	-	53503-Pc.00g044830.m01.polypeptide.OG0003251	Pc12g14420
N0.HOG0002441	OG0002304	-	53503-Pc.00g044760.m01.polypeptide.OG0003256	Pc12g14330
N0.HOG0002442	OG0002305	-	53503-Pc.00g044750.m01.polypeptide.OG0003257	Pc12g14320
N0.HOG0002443	OG0002306	-	53503-Pc.00g044740.m01.polypeptide.OG0003258	Pc12g14310
N0.HOG0002444	OG0002307	-	53503-Pc.00g044730.m01.polypeptide.OG0003259	Pc12g14300
N0.HOG0002445	OG0002308	-	53503-Pc.00g044690.m01.polypeptide.OG0003263	Pc12g14230
N0.HOG0002446	OG0002309	-	53503-Pc.00g044670.m01.polypeptide.OG0003265	Pc12g14210
N0.HOG0002447	OG0002310	-	53503-Pc.00g069680.m01.polypeptide.OG0003267	Pc21g06690
N0.HOG0002448	OG0002311	-	53503-Pc.00g069700.m01.polypeptide.OG0003268	Pc21g06710
N0.HOG0002449	OG0002312	-	53503-Pc.00g069710.m01.polypeptide.OG0003269	Pc21g06720
N0.HOG0002450	OG0002313	-	53503-Pc.00g069760.m01.polypeptide.OG0003272	Pc21g06790
N0.HOG0002451	OG0002314	-	53503-Pc.00g011990.m01.polypeptide.OG0003274	Pc21g06860
N0.HOG0002452	OG0002315	-	53503-Pc.00g012010.m01.polypeptide.OG0003276	Pc21g06880
N0.HOG0002453	OG0002316	-	53503-Pc.00g012030.m01.polypeptide.OG0003278	Pc21g06900
N0.HOG0002454	OG0002317	-	53503-Pc.00g012040.m01.polypeptide.OG0003279	Pc21g06910
N0.HOG0002455	OG0002318	-	53503-Pc.00g012050.m01.polypeptide.OG0003280	Pc21g06920
N0.HOG0002456	OG0002319	-	53503-Pc.00g012060.m01.polypeptide.OG0003281	Pc21g06930
N0.HOG0002457	OG0002320	-	53503-Pc.00g012090.m01.polypeptide.OG0003283	Pc21g06960
N0.HOG0002458	OG0002321	-	53503-Pc.00g012120.m01.polypeptide.OG0003284	Pc21g07000
N0.HOG0002459	OG0002322	-	53503-Pc.00g012140.m01.polypeptide.OG0003286	Pc21g07020
N0.HOG0002460	OG0002323	-	53503-Pc.00g012150.m01.polypeptide.OG0003287	Pc21g07030
N0.HOG0002461	OG0002324	-	53503-Pc.00g012180.m01.polypeptide.OG0003289	Pc21g07060
N0.HOG0002462	OG0002325	-	53503-Pc.00g012210.m01.polypeptide.OG0003290	Pc21g07090
N0.HOG0002463	OG0002326	-	53503-Pc.00g012230.m01.polypeptide.OG0003291	Pc21g07110
N0.HOG0002464	OG0002327	-	53503-Pc.00g012240.m01.polypeptide.OG0003292	Pc21g07120
N0.HOG0002465	OG0002328	-	53503-Pc.00g012280.m01.polypeptide.OG0003294	Pc21g07160
